cancer_type,mean_tGJS,median_tGJS,std_tGJS,n_samples,mean_HK2,mean_BCL2L1,mean_TSPO,ici_response_rate
HNSC,0.09761325766417771,0.0867357375667855,0.04147760549698382,515,4438.362757281553,2874.3545281553397,4687.706291262137,0.16
COADREAD,0.08947231421619634,0.08510180754671577,0.027146666048290632,592,3231.7182239864865,4268.115540033784,4162.35858445946,
CHOL,0.08887019566531978,0.08455672804016837,0.03496295725300063,36,569.3182,9875.968055555555,3288.0838055555555,
PAAD,0.08845164596908787,0.08325658496070196,0.042393596468813015,177,2484.0608581920906,5341.477966101695,4178.038305084746,0.03
LUSC,0.08535461481736697,0.07721665805702412,0.04082020633027721,484,4557.239358884298,2973.186987603306,2962.970111570248,0.2
BLCA,0.08480232887984354,0.07680194609708446,0.03712843867522839,407,2541.9545574938575,3871.8931695331694,4730.285874692875,0.21
CESC,0.08296452156210843,0.0767677903052092,0.034790906402640924,294,3094.645761904762,3265.267074829932,4263.988925170068,
UVM,0.07887929745291243,0.07455569560542546,0.02135006681833553,80,1171.3526625,4564.05275,5191.8099999999995,
KIRP,0.07523180726130123,0.07334468518881956,0.022092249343975454,283,1367.8309692579505,7094.064310954063,2655.351074204947,
SKCM,0.0714738473523489,0.06440945941489895,0.033469770316294285,443,2378.6963814898418,2681.084178329571,4163.616334085779,0.4
KICH,0.07080094380361933,0.0682479281794469,0.0234905218187322,65,193.66293230769233,7956.886461538462,2932.8826153846153,
ESCA,0.07076803245296542,0.0622655460539278,0.03654109751087034,181,4144.2059,2611.5523160220996,1945.602308839779,
UCEC,0.0655773963474908,0.06135032535279245,0.02348746515864786,527,1886.437160910816,3403.3872783681213,3520.848017647059,0.15
STAD,0.06173893611245066,0.05825410812522296,0.027994252716724448,412,2239.965466990291,3727.4692657766986,2376.025179854369,0.15
DLBC,0.061022763483631726,0.04975814282834985,0.03024253402722401,48,1138.6304375,3197.6379166666666,4035.7335208333334,
KIRC,0.05838954508473756,0.054010544548543635,0.02277968509050411,510,2261.2766445098036,4352.527921568628,1482.3122180392158,0.25
THCA,0.057802149742345835,0.054692907269100324,0.0199358417274536,498,2328.540263052209,3878.708373493976,1672.6749116465865,
LUAD,0.05756553500726352,0.05383596049696107,0.023765313426355426,510,1791.3500625490194,3780.801080392157,2378.962015490196,0.2
OV,0.05527374231503488,0.0530161222414139,0.015818126334499694,300,1650.040739,3931.718839,2162.0191760000002,0.08
BRCA,0.05448648672030777,0.04944806805145253,0.02320615299884161,1082,2417.521722273568,2753.27131792976,1976.431614602588,0.12
MESO,0.05317167716403226,0.048457127704511105,0.02194663141880106,87,1255.2912068965518,2754.3797701149424,3250.5591609195403,
PRAD,0.051082236561977655,0.04902866124163159,0.013777198163454353,493,1139.2618403651115,3077.294273225152,2901.7575693711965,0.05
UCS,0.05001172037574467,0.047850334487126875,0.015842659237517768,57,1759.412350877193,3126.509649122807,1967.9040701754386,
THYM,0.04999584452871641,0.04811062165722958,0.02863983390862509,119,416.048731092437,5297.5674789915965,2042.497588235294,
ACC,0.04681465892713249,0.03957596915731422,0.0272346818167718,78,1705.7269628205129,3271.5828076923076,1535.734717948718,
LAML,0.04281205622280515,0.041247777019362435,0.014349656367966212,173,2339.9900156069366,1225.9410658959537,1752.4633468208092,0.1
TGCT,0.04222462688790351,0.03882997491215166,0.01800932709526396,149,2519.543409395973,2309.619845637584,667.8662919463087,
GBM,0.04051636715653391,0.03872309518389924,0.013703152522030672,160,1482.7914375,2813.19156875,1372.0443375,0.08
SARC,0.03882766601765708,0.031141492282832,0.0229730926494039,253,865.7516122529644,2420.6339881422923,2213.60485256917,
LIHC,0.03582134810316562,0.031325615129437046,0.020311161849605217,366,330.74594344262294,3797.358524590164,1501.2686975409836,0.17
LGG,0.025966568551889894,0.024252931283228953,0.011562998870601521,514,711.6090266536966,2567.5602821011676,717.2179735408561,0.05
PCPG,0.0249574366656918,0.01817028305215613,0.02078694829904776,178,621.9984516853932,2403.4061797752806,823.767691011236,
